created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-05-21T15:55:01+05:30,1,33.80,42.60,0.00,,,,
2023-05-21T15:55:16+05:30,2,33.90,42.40,0.00,,,,
2023-05-21T15:55:32+05:30,3,33.90,42.10,0.00,,,,
2023-05-21T15:55:47+05:30,4,34.00,41.70,0.00,,,,
2023-05-21T15:56:02+05:30,5,34.00,41.50,0.00,,,,
2023-05-21T15:56:18+05:30,6,34.00,41.70,0.00,,,,
2023-05-21T15:56:36+05:30,7,34.10,42.20,0.00,,,,
2023-05-21T15:56:51+05:30,8,34.10,41.50,0.00,,,,
2023-05-21T15:57:07+05:30,9,34.20,40.80,0.00,,,,
2023-05-21T15:57:22+05:30,10,34.30,40.30,0.00,,,,
2023-05-21T15:57:37+05:30,11,34.40,39.90,0.00,,,,
2023-05-21T16:14:28+05:30,12,35.90,35.60,0.00,,,,
2023-05-21T16:14:44+05:30,13,35.30,38.20,0.00,,,,
2023-05-22T16:26:13+05:30,14,30.40,50.80,0.00,,,,
2023-05-22T16:26:46+05:30,15,30.30,51.40,0.00,,,,
2023-05-22T16:40:00+05:30,16,30.90,47.70,0.00,,,,
2023-05-22T16:40:38+05:30,17,30.60,49.40,0.00,,,,
2023-05-22T16:41:02+05:30,18,30.50,49.40,0.00,,,,
2023-05-22T16:41:32+05:30,19,30.50,49.50,0.00,,,,
2023-05-22T16:41:48+05:30,20,30.50,49.80,0.00,,,,
2023-05-22T16:42:08+05:30,21,30.50,49.60,0.00,,,,
2023-05-25T16:49:58+05:30,22,-21.00,82.00,,,,,
2023-05-25T16:54:32+05:30,23,32.10,95.00,,,,,
2023-05-25T16:54:48+05:30,24,32.20,95.00,,,,,
2023-05-25T16:55:09+05:30,25,32.20,95.00,,,,,
2023-05-25T16:55:24+05:30,26,32.20,95.00,,,,,
2023-05-25T16:55:44+05:30,27,32.30,95.00,,,,,
2023-05-25T16:56:00+05:30,28,32.30,95.00,,,,,
2023-05-25T16:56:21+05:30,29,32.30,95.00,,,,,
2023-05-25T16:56:40+05:30,30,32.20,95.00,,,,,
2023-05-25T16:57:16+05:30,31,32.10,95.00,,,,,
2023-05-25T16:57:31+05:30,32,32.10,95.00,,,,,
2023-05-25T16:57:55+05:30,33,31.80,95.00,,,,,
2023-05-25T16:58:11+05:30,34,31.50,95.00,,,,,
2023-05-25T16:58:34+05:30,35,31.30,95.00,,,,,
2023-05-25T16:59:00+05:30,36,31.00,95.00,,,,,
2023-05-25T17:00:23+05:30,37,31.00,95.00,,,,,
2023-05-25T17:01:32+05:30,38,31.70,95.00,,,,,
2023-05-25T17:01:47+05:30,39,31.80,95.00,,,,,
